path,classification,owner,old_lifecycle,reason,imported_by,archive_destination,git_blob_sha,bytes,sha256,replacement_or_current_authority,removal_safety
.gitattributes,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,fea410fcf8862b338bab868d816d381eb5a702df,80,1D66749D1FFAE745779DF1A44BD2404240FF260608514A29A39C4F07C41EC412,,RETAIN_IN_ACTIVE_TREE
.gitignore,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,8ac8e675e54260df86999184718957e40f4caf59,780,EF1DD03DC11F22E81E7DCA9743ECD8EEBB26C49EA357BA25AC4F40D2A2BC7D51,,RETAIN_IN_ACTIVE_TREE
AGENTS.md,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,,RETAIN_IN_ACTIVE_TREE
ARCHITECTURE.md,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,22871bf07943a5d76992fa9fc35f542dee892ed1,2083,2287D87297D054754B0CA80D99EB3A7E56A4497784A04A47591554391926B95B,,RETAIN_IN_ACTIVE_TREE
EVIDENCE.md,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,8218ed510825450a91eba404eea307be8a9c4b9d,1156,D6EBD1A6EAC2BF701A4F575FD36F65806E45C681CB15C6BF9B2BD9AC72E08EB5,,RETAIN_IN_ACTIVE_TREE
F0_01_DELIVERY_RECEIPT.md,ARCHIVE_HISTORICAL,LEGACY,MIGRATION_ASSET,"Root delivery receipt is frozen delivery evidence, not an active migration implementation.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::F0_01_DELIVERY_RECEIPT.md,1edbe8f1f8be36cca68731e7cff0ac63c3242ab3,3939,7BCBF4499A33B3375E6925D6363E9A4375E24E0F6C8D5BD23B5B97BA2A5039FC,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
F0_02_DELIVERY_RECEIPT.md,ARCHIVE_HISTORICAL,LEGACY,MIGRATION_ASSET,"Root delivery receipt is frozen delivery evidence, not an active migration implementation.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::F0_02_DELIVERY_RECEIPT.md,bfe60495fc8d03a6de92a0cba414fc50c902c199,3514,C6FD866C11A71CDF7A5B4BF3C07A04D314CD201509488701751052AF0A1583F0,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
F0_03_DELIVERY_RECEIPT.md,ARCHIVE_HISTORICAL,LEGACY,MIGRATION_ASSET,"Root delivery receipt is frozen delivery evidence, not an active migration implementation.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::F0_03_DELIVERY_RECEIPT.md,0f89156edeb154fa6a04196e8fb7a2c1f95ce2ba,4847,6DADF688D4F5420AD5D8B057DF310D1135E0BA607A56FCF2FFE269BFB0C881A0,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
F0_04_DELIVERY_RECEIPT.md,ARCHIVE_HISTORICAL,LEGACY,MIGRATION_ASSET,"Root delivery receipt is frozen delivery evidence, not an active migration implementation.",,NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip::F0_04_DELIVERY_RECEIPT.md,c84410591f10e89b34401e72d64217e1354822e0,6013,CEF7291E2EA8477D144DE34816AA61085C9608B2FD33B829DCC61DA7E82BCD7F,Git commit 7e608754b939d564f1387650f25424f2cd943f33; external archive NOLLM_HISTORICAL_ASSETS_20260730_7e60875.zip,ARCHIVE_AND_VERIFY_BEFORE_GIT_RM
LICENSE,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,261eeb9e9f8b2b4b0d119366dda99c6fd7d35c64,11357,C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4,,RETAIN_IN_ACTIVE_TREE
NOLLM_PROJECT_SPEC_V4_ENGINEERING_GRAVITY_20260616.md,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,f8d05d167344cf16c5bace59a67daaabe5488280,14216,5635B68F9849159BB02D8E491D6289C8D38354AD509FD467C5F6CBCC404811D2,,RETAIN_IN_ACTIVE_TREE
README.md,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,03b376535e8c73b94e73502c30941580a28b43f7,2683,2069B8E50E927F53AD6F7416318E0C15C99F0849D6C912FF995FF5DDBACF4C63,,RETAIN_IN_ACTIVE_TREE
ROADMAP.md,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,3ec7cbde8c3f6bee95059dd788255f2113562ab5,1216,3A0A19227B32B8C576A251AF5518B86F39EB72FA2FF93D65E984E43981DFF082,,RETAIN_IN_ACTIVE_TREE
config/module-boundaries.json,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,f7624b95e70eea4c861a08e8da943260aa626d2a,1681,62B3B96FCD07B19CB2D99AF843866DACD1B1E564931335054CD0FA056587C1D9,,RETAIN_IN_ACTIVE_TREE
cortex/ANCHOR_COMPOSER.md,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,3413a2232564a348d0535a0ced10ade5afad55a8,1428,3BFC46D0BC61CB8CD735BFF05047AFCBD3D84E0D58478BAD86705E3295C3C226,,RETAIN_IN_ACTIVE_TREE
cortex/CORTEX_PROMPT.md,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,218d56554542f1f73e26432318b888d2b6b73894,4197,8107187785C95A7A5CB48E020EEE4A66530A9123C2B5462DA425D0D00ACC3C3B,,RETAIN_IN_ACTIVE_TREE
cortex/MEMORY_INTENT.md,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,b32c96e8d8de7af9c3404093002b8c9fcd21b888,1181,545C6B77D62E2C59DC64CA06BA0F447D67DA73DAAE9F5F7600A7607632A23566,,RETAIN_IN_ACTIVE_TREE
cortex/NOLLM_CORTEX.md,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,3bccc6546aaaaa2e585a64c21cd1dcbbcb39c167,819,7B4A7CCE23E056958FA8497568DB8B30B4563C53E71360CC6065E73729763842,,RETAIN_IN_ACTIVE_TREE
cortex/NOLLM_EXTERNAL_AGENT_INSTRUCTIONS.md,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,260b0627362b3210194f0fe482d3d3faf91e0421,2121,12AF483CC1A2151D108AD0F7C761D06288302F43EA86F987FD53E9C47069BD7E,,RETAIN_IN_ACTIVE_TREE
cortex/READ_WRITE_POLICY.md,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,8fae6524c8d519c0524289fd0e2a01ac3e2a9b84,2787,135F931A325D2158E5F0771D0CEDBFE0F450EAB4AD83A3367D246314A5CE325C,,RETAIN_IN_ACTIVE_TREE
cortex/RECALL_DIGEST_USAGE.md,KEEP_MIGRATION,LEGACY,MIGRATION_ASSET,Retained migration or compatibility asset; removal is not authorized by this curation gate.,,,0a0de0367adae447a299193078012a9f4f6f37b8,1801,6BF8D82470C70D5C886345FC6E38EEA26B1840C94DE6E0F2A3FFF8A616138C0C,,RETAIN_IN_ACTIVE_TREE
distributions/DISTRIBUTION_MATRIX.md,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,cbafd255fb4eff85aea53dc30c8e8ae0c8ab2fb3,1074,1E5FFCDABF4FBFAEF9CD67FA76768C1CA28D5D0D55214B21F2E0A3AF19B83EE2,,RETAIN_IN_ACTIVE_TREE
distributions/distribution-matrix.json,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,9b5d2a2a01750a06125ef6f4ce46f4b28a8e6a09,1472,4DFBA71E33411A202EC225A177F8A4196417E0A0F04F1B734128ACC4223125ED,,RETAIN_IN_ACTIVE_TREE
distributions/nollm-audited/README.md,KEEP_ACTIVE,DISTRIBUTION,ACTIVE,"Current active implementation, test, fixture, distribution, or governance authority.",,,a2f70a79a536345eb1f748dde2aec2690ec93dbe,159,B0D6D87764F72F81C28E90DF7EF08FC64DEF597043CF9C72BDE59669D74F3976,,RETAIN_IN_ACTIVE_TREE
